height_yrs,calendar_year,n_lineages
315.50960539961534,1708.9903946003847,2
315.50960539961534,1708.9903946003847,2
265.3901245165099,1759.1098754834902,3
242.44829716820053,1782.0517028317995,4
218.13411391676175,1806.3658860832384,5
184.2514383945505,1840.2485616054496,6
180.09578715253727,1844.4042128474628,7
173.8518881988462,1850.6481118011538,8
168.26616269046207,1856.2338373095379,9
166.60667638559207,1857.893323614408,10
147.09760062929593,1877.4023993707042,11
131.963692310071,1892.536307689929,12
128.25927814377985,1896.2407218562203,13
128.16897306546903,1896.3310269345309,14
121.06549866001612,1903.4345013399839,15
113.44018096563096,1911.059819034369,16
109.30316398292943,1915.1968360170706,17
106.12921022429119,1918.3707897757088,18
102.4342940224411,1922.065705977559,19
98.38039964488677,1926.1196003551133,20
98.26896808801087,1926.2310319119892,21
96.74796959019153,1927.7520304098084,22
94.39422162733491,1930.105778372665,23
92.0617214579149,1932.438278542085,24
91.78270977556517,1932.717290224435,25
90.48026750010345,1934.0197324998965,26
88.30718238046185,1936.1928176195381,27
88.30414137977056,1936.1958586202295,28
88.12339356749199,1936.376606432508,29
87.74379687644038,1936.7562031235595,30
85.41787274685157,1939.0821272531484,31
83.74104465863908,1940.758955341361,32
83.27014090040626,1941.2298590995938,33
82.31565598878124,1942.1843440112189,34
81.37996112861822,1943.120038871382,35
80.5439806592569,1943.956019340743,36
78.75133448591865,1945.7486655140813,37
77.87888671172409,1946.6211132882759,38
77.21155430617462,1947.2884456938255,39
74.13096140558179,1950.3690385944183,40
74.12038451983406,1950.379615480166,41
73.34704224483522,1951.1529577551648,42
73.10824122646144,1951.3917587735386,43
72.86132105041982,1951.6386789495803,44
72.69916515573296,1951.800834844267,45
70.06753058726215,1954.4324694127379,46
69.93629923595797,1954.563700764042,47
69.77457464533552,1954.7254253546644,48
68.56352044857968,1955.9364795514202,49
68.30185926770352,1956.1981407322965,50
66.71988514316446,1957.7801148568356,51
65.99574359346587,1958.504256406534,52
65.57476740265994,1958.92523259734,53
65.33908337224038,1959.1609166277597,54
65.05341272305718,1959.4465872769429,55
64.95845886941419,1959.5415411305858,56
64.60767034493792,1959.892329655062,57
64.37317280498603,1960.126827195014,58
64.00414504204778,1960.4958549579521,59
63.5092065889564,1960.9907934110436,60
63.239271492949044,1961.260728507051,61
63.2365651298897,1961.2634348701104,62
62.6756408255039,1961.824359174496,63
62.23696347346385,1962.263036526536,64
61.832332502528516,1962.6676674974715,65
61.5460727893447,1962.9539272106554,66
61.37763166190556,1963.1223683380945,67
61.344663215343246,1963.1553367846568,68
60.295105754478435,1964.2048942455215,69
