clade,n_tips,height_mean_yrs,hpd_lo_yrs,hpd_hi_yrs,calendar_mean,calendar_hpd_lo,calendar_hpd_hi,posterior
Root (whole tree),528,315.50960539961534,227.76042241004708,415.11692015196763,1708.9903946003847,1609.3830798480324,1796.739577589953,1.0
Major clade (>50%),474,128.25927814377985,91.7376594636541,168.0032343546502,1896.2407218562203,1856.4967656453498,1932.7623405363458,0.999855557160476
Mid clade (20-50%),134,87.74379687644038,63.698763950643695,113.89581698258237,1936.7562031235595,1910.6041830174177,1960.8012360493562,0.9865557049366118
Small clade (5-20%),28,77.87888671172409,53.77190157360829,104.37664284885506,1946.6211132882759,1920.123357151145,1970.7280984263916,1.0
Mini clade (<5%),5,42.52680959963298,25.259973791564164,61.79992638052414,1981.973190400367,1962.700073619476,1999.240026208436,1.0
