node_id,n_tips,height_yrs,hpd_lo_yrs,hpd_hi_yrs,calendar_mean,calendar_hpd_lo,calendar_hpd_hi,posterior
0,528,315.50960539961534,227.76042241004708,415.11692015196763,1708.9903946003847,1609.3830798480324,1796.739577589953,1.0
1,476,242.44829716820053,171.86948043401313,320.6285044873641,1782.0517028317995,1703.8714955126359,1852.6305195659868,0.999855557160476
2,475,184.2514383945505,129.81161961552397,243.33204538047295,1840.2485616054496,1781.167954619527,1894.688380384476,0.9997666692592304
3,474,128.25927814377985,91.7376594636541,168.0032343546502,1896.2407218562203,1856.4967656453498,1932.7623405363458,0.999855557160476
4,446,121.06549866001612,87.21157017564543,158.71390744364425,1903.4345013399839,1865.7860925563557,1937.2884298243546,0.8680570215886491
10,440,113.44018096563096,81.84199697585095,148.0361668538928,1911.059819034369,1876.4638331461072,1942.6580030241491,0.9998444461728203
11,367,109.30316398292943,78.59075163860817,142.5354937516571,1915.1968360170706,1881.9645062483428,1945.9092483613917,0.7361029321896423
12,363,102.4342940224411,73.72406542108055,132.92110113216728,1922.065705977559,1891.5788988678328,1950.7759345789195,0.999855557160476
13,214,92.0617214579149,65.40148345421645,120.72716511856908,1932.438278542085,1903.772834881431,1959.0985165457835,0.7967578138020689
226,149,98.26896808801087,71.68874990620779,128.3031802218523,1926.2310319119892,1896.1968197781478,1952.8112500937923,0.7823690847879468
227,135,94.39422162733491,69.05198244307917,123.26949440334039,1930.105778372665,1901.2305055966597,1955.4480175569208,0.40515105387717915
228,134,87.74379687644038,63.698763950643695,113.89581698258237,1936.7562031235595,1910.6041830174177,1960.8012360493562,0.9865557049366118
239,123,85.41787274685157,62.12607626240097,110.30856943805173,1939.0821272531484,1914.1914305619482,1962.373923737599,0.3213519849779447
240,118,80.5439806592569,58.929101172717054,105.08605631610737,1943.956019340743,1919.4139436838927,1965.570898827283,0.9811113209853224
116,111,81.37996112861822,59.071052555572464,106.90952933718694,1943.120038871382,1917.590470662813,1965.4289474444276,0.027410806546593926
241,104,68.30185926770352,48.58969414274398,89.87597161421093,1956.1981407322965,1934.6240283857892,1975.910305857256,0.1944533949622782
14,103,82.31565598878124,59.1191800969533,113.91396163593095,1942.1843440112189,1910.586038364069,1965.3808199030468,0.012710969878112465
117,81,64.95845886941419,45.279553872505545,85.90088526263,1959.5415411305858,1938.59911473737,1979.2204461274944,0.11185431272985856
118,80,61.37763166190556,41.61952863903599,82.62653420740207,1963.1223683380945,1941.873465792598,1982.880471360964,0.06272152531638538
119,76,54.717101351373756,37.30756652864804,74.31836531543485,1969.7828986486263,1950.181634684565,1987.192433471352,0.3876401373318074
377,73,88.30718238046185,61.579080958541,118.30647505473942,1936.1928176195381,1906.1935249452606,1962.920919041459,0.999966667037033
120,68,50.80418491350917,35.79017634447388,66.52315764832889,1973.695815086491,1957.9768423516712,1988.7098236555262,0.10733214075399163
279,66,62.23696347346385,44.08966118176551,83.71697444320802,1962.263036526536,1940.783025556792,1980.4103388182345,0.02456639370673659
280,61,61.832332502528516,43.32650136716177,82.2324897909146,1962.6676674974715,1942.2675102090855,1981.1734986328383,0.13325407495472272
15,53,63.5092065889564,46.41854318881781,82.91135992287457,1960.9907934110436,1941.5886400771255,1978.0814568111823,0.8672903634404062
476,52,265.3901245165099,190.9956187448732,348.3938738891322,1759.1098754834902,1676.1061261108678,1833.5043812551269,0.9991222319752002
67,50,78.75133448591865,54.48637865061096,104.93664228293039,1945.7486655140813,1919.5633577170697,1970.013621349389,0.1895645603937734
68,49,64.00414504204778,43.829944482617236,86.43504857339275,1960.4958549579521,1938.0649514266072,1980.6700555173827,0.25751936089599003
378,48,77.21155430617462,54.432767014934285,103.16951514250263,1947.2884456938255,1921.3304848574974,1970.0672329850656,0.9552560527105255
483,45,218.13411391676175,157.59677520325502,287.1665499667188,1806.3658860832384,1737.3334500332812,1866.903224796745,1.0
16,45,60.295105754478435,45.216943383568974,76.37731683690089,1964.2048942455215,1948.122683163099,1979.283056616431,0.02992188975678048
296,45,57.754171907524686,38.82174206678508,78.43674373732915,1966.7458280924752,1946.0632562626708,1985.6782579332148,0.058954900501105544
297,43,56.81357582457842,40.45892455225422,76.66492999591327,1967.6864241754215,1947.8350700040867,1984.0410754477457,0.12458750458328241
121,43,47.565370478471436,31.85641564250409,62.58644864110238,1976.9346295215287,1961.9135513588976,1992.643584357496,0.02865523716403151
20,41,57.155134074382644,43.34216320623068,72.76456306165966,1967.3448659256173,1951.7354369383404,1981.1578367937693,0.009633226297485583
379,39,69.93629923595797,50.2046830329146,91.93084760302838,1954.563700764042,1932.5691523969717,1974.2953169670855,0.632992966744814
122,38,44.065997017864895,31.42555033200449,57.17767120197277,1980.434002982135,1967.3223287980272,1993.0744496679954,0.0019222008644348397
242,38,51.39232769927225,36.60105748500985,67.8821939176101,1973.1076723007277,1956.61780608239,1987.8989425149903,0.5257163809291008
298,36,54.71991731135669,38.1799788622553,73.3268933443403,1969.7800826886432,1951.1731066556597,1986.3200211377448,0.660325996377818
243,36,49.24713185080068,36.32961171764978,64.82519881569516,1975.2528681491992,1959.674801184305,1988.1703882823501,0.05207719914223175
299,35,42.457421267122626,29.38362754997749,56.77226045832083,1982.0425787328775,1967.727739541679,1995.1163724500225,0.9998111132098533
123,33,39.93036334983654,29.295079495895862,52.24482311009558,1984.5696366501634,1972.2551768899043,1995.2049205041042,0.052988300129998556
197,30,72.86132105041982,51.37702970457738,96.75389564166665,1951.6386789495803,1927.7461043583335,1973.1229702954226,0.6989700114443173
449,28,77.87888671172409,53.77190157360829,104.37664284885506,1946.6211132882759,1920.123357151145,1970.7280984263916,1.0
69,26,42.40078147959355,28.285592665602735,59.80663179573469,1982.0992185204063,1964.6933682042654,1996.2144073343973,0.4890945656159376
484,26,180.09578715253727,129.37441280484563,234.71156614496698,1844.4042128474628,1789.788433855033,1895.1255871951544,1.0
163,25,33.06989458985213,22.686517042730657,44.791220919602324,1991.430105410148,1979.7087790803976,2001.8134829572693,0.10203219964222619
425,25,73.10824122646144,48.69412381192248,99.36620843245427,1951.3917587735386,1925.1337915675458,1975.8058761880775,0.9776224708614348
70,24,42.085144100526534,27.75616299240653,58.913516222250166,1982.4148558994734,1965.58648377775,1996.7438370075934,0.11797646692814524
426,24,51.461312682211165,35.68819146530376,69.198953793172,1973.0386873177888,1955.301046206828,1988.8118085346962,1.0
450,24,55.73438301441463,38.60160890272016,75.07888359027828,1968.7656169855854,1949.4211164097217,1985.8983910972797,1.0
21,24,46.617593086142875,34.276751888607606,60.37506679458323,1977.882406913857,1964.1249332054167,1990.2232481113924,0.9212119865334829
94,23,57.46624975219058,39.81371487419358,75.71621586072206,1967.0337502478094,1948.783784139278,1984.6862851258065,0.09611004322174198
124,23,36.617588532437125,26.642143773295288,47.17646343934189,1987.8824114675629,1977.323536560658,1997.8578562267048,0.08715458717125366
257,22,45.85769953294038,33.40618728811404,59.52805401299963,1978.6423004670596,1964.9719459870003,1991.093812711886,0.007844357284919057
451,21,44.11548650736227,31.262104667575272,58.4895851153712,1980.3845134926378,1966.0104148846287,1993.2378953324246,1.0
300,21,33.21887370270502,24.43094331534496,43.75509445500268,1991.281126297295,1980.7449055449974,2000.0690566846552,0.38578460239330675
95,20,52.82149274075675,36.86118767592595,70.05647016476433,1971.6785072592434,1954.4435298352357,1987.638812324074,0.04962167087032366
380,20,64.60767034493792,46.208750127460604,85.50454667456063,1959.892329655062,1938.9954533254395,1978.2912498725393,0.2797191142320641
485,20,168.26616269046207,120.9774698895568,222.09351370231906,1856.2338373095379,1802.4064862976809,1903.5225301104433,0.8602793302296641
207,20,65.33908337224038,46.197337372097536,86.7743949282505,1959.1609166277597,1937.7256050717494,1978.3026626279025,0.5445828379684671
509,19,147.09760062929593,102.9749353273443,197.33471776980423,1877.4023993707042,1827.1652822301958,1921.5250646726556,1.0
96,19,51.72933224504023,35.339819189882064,67.23186159354907,1972.7706677549597,1957.2681384064508,1989.160180810118,0.022110865434828503
399,19,55.625043420579715,38.67964847651115,74.67789207478069,1968.8749565794203,1949.8221079252194,1985.8203515234889,1.0
22,18,42.97942437333907,33.80778778992425,54.86661299026224,1981.520575626661,1969.6333870097378,1990.6922122100757,0.003188853457183809
452,18,36.67978684202745,26.502175137457357,48.15328647130082,1987.8202131579726,1976.3467135286992,1997.9978248625425,1.0
510,18,91.78270977556517,62.510066693521566,124.94542153056909,1932.717290224435,1899.554578469431,1961.9899333064784,1.0
301,18,32.064263678549224,23.262194160994483,42.15654554737222,1992.4357363214508,1982.3434544526278,2001.2378058390054,0.053688292352307196
44,17,52.31926472507573,39.82956657531122,66.67886601542955,1972.1807352749242,1957.8211339845705,1984.6704334246888,0.010310996544482838
433,17,46.31652401047328,31.9490600343876,62.70087766277186,1978.1834759895266,1961.7991223372283,1992.5509399656123,0.8469350340551771
302,17,28.954515724131628,21.247365538208726,38.05756869400801,1995.5454842758684,1986.442431305992,2003.2526344617913,0.5600604437728469
281,16,43.99606574007341,29.525948864730452,60.479490982524226,1980.5039342599266,1964.020509017476,1994.9740511352695,1.0
172,16,29.248480652696664,20.581948468188358,38.8543445799603,1995.2515193473034,1985.6456554200397,2003.9180515318117,0.005755491605648826
402,16,52.76359071645293,37.179057356339825,70.8294888460822,1971.7364092835471,1953.6705111539177,1987.3209426436601,0.2956744925056388
211,16,61.5460727893447,43.621597762531565,81.98555366144058,1962.9539272106554,1942.5144463385595,1980.8784022374684,0.5579271341429539
45,16,48.62418120035157,35.410496787866975,63.90485785100816,1975.8758187996484,1960.5951421489917,1989.089503212133,0.05722158642681748
486,15,128.16897306546903,90.79493145602191,170.00241054593874,1896.3310269345309,1854.4975894540612,1933.705068543978,1.0
282,15,34.61409887472999,24.16128749751249,46.698313365765046,1989.88590112527,1977.801686634235,2000.3387125024874,0.9887334585171276
403,15,47.99278372083879,33.76877467487586,64.74621733035042,1976.5072162791612,1959.7537826696496,1990.7312253251241,0.9551560538216242
303,15,26.490885511146466,19.649493221526654,34.86177704160548,1998.0091144888536,1989.6382229583946,2004.8505067784733,0.5743713958733792
97,14,46.34639331827547,32.51567575106861,62.764751789422064,1978.1536066817246,1961.735248210578,1991.9843242489314,0.19252008311018767
320,14,37.260725349989194,23.51701107510212,50.95952425631384,1987.2392746500109,1973.540475743686,2000.9829889248979,0.09059899334451839
244,14,36.44035438703863,25.959345368662525,47.23936033529452,1988.0596456129613,1977.2606396647054,1998.5406546313375,0.07101032210753214
344,14,73.34704224483522,54.17885348911443,94.9762533686038,1951.1529577551648,1929.523746631396,1970.3211465108857,0.20091998977789136
